Year,Southern Region,LA-Kisatchie National Forest,AL-Escambia Experimental Forest,W FL-Blackwater River State Forest,W FL-Eglin Air Force Base,W FL-Apalachicola National Forest,SW GA-Jones Research Center,Red Hills-Tall Timbers Research Station,W GA-Fort Moore Military Base,SC-Sand Hills State Forest,NC-Bladen Lakes State Forest,FL Pen.- Ordway-Swisher Biological Station
1958,,,63,,,,,,,,,
1959,,,9,,,,,,,,,
1960,,,19,,,,,,,,,
1961,,,43,,,,,,,,,
1962,,,8,,,,,,,,,
1963,,,1,,,,,,,,,
1964,,,12,,,,,,,,,
1965,,,4,,,,,,,,,
1966,1,,1,,,0.6,,,,,,
1967,65.1,26.4,53.4,13.8,,18.7,2.7,,,,,
1968,7.2,5.8,34.4,2.5,0.2,9.9,0.4,,,,0.2,
1969,10.1,10.1,15.8,2.5,0.6,5.2,0.8,,,9.2,1.9,
1970,11.7,13.6,2.2,1.7,0.9,1,7.5,,,7.1,0.9,
1971,16.8,4.8,21.6,29.2,4.1,14.4,1.5,,,10.2,2.7,
1972,26.7,8.3,5.4,0.9,3.5,0.2,0.4,,,51,25.6,
1973,67.4,55.6,28.3,14.4,10.6,27.2,7.2,,,92,8.8,
1974,7.7,1.9,24.7,3,1.6,9.6,0.3,,,6.7,0.3,
1975,23.2,,15.7,17.5,10.6,,5,,,67.3,,
1976,7.9,,3.9,1.5,1.7,22.9,1.6,,,16.1,,
1977,26.4,47.4,19.8,9.9,1.1,89.7,1.1,,,25.5,16.9,
1978,2.9,5,4.7,0.8,0.3,2.7,1,,,8.5,0.3,
1979,7.8,10.6,11.3,5.5,4.4,,3.1,,,18.4,1.4,
1980,18.3,67.3,3,0.5,0.6,,2.3,,,36.2,,
1981,11.1,13.6,6.6,1.2,1,,0.9,,,43.5,,
1982,4.8,0.7,13.1,3.2,8.1,,1.7,,,2.3,,
1983,30,94.2,14.6,11.8,22.9,,11,,,25.8,,
1984,37.2,133.8,19.2,12.3,5.9,,1.5,,,50.6,,
1985,7,3.8,13.3,8.5,6.1,,1.2,,,9.3,,
1986,28.2,60.3,31.3,19.2,28.3,,19.4,,,10.8,,
1987,65.2,89,104.2,58.7,18.1,,11.2,,,110.2,,
1988,8.7,24.8,6.5,8.2,,,1.2,,,3.1,,
1989,6.9,26.6,0.2,2.1,,,0.7,,,4.8,,
1990,39.9,46.3,43.9,35.5,,,50.3,,,17.8,,
1991,43.5,47,23.8,33.7,,,1.2,,,117.5,37.8,
1992,35.5,4.8,1,8.3,,76.6,0.2,,,152.4,5.3,
1993,52.3,16.2,128.1,89.8,,5.7,91.2,,15.6,71,0.7,
1994,27.5,118.1,14.8,9.7,20.1,11.1,24.9,,,3.7,17.6,
1995,41,42.7,7.6,10.9,10.1,17.9,66.1,,10.4,51,152.1,
1996,115,75.9,157.2,206.4,87.8,190.8,123.7,,34.9,48.2,110.3,
1997,17,11.3,1.4,8.2,6.7,38.6,16.9,,52.7,7.2,9.7,
1998,17.3,55.6,38.5,27.1,11.3,1.2,3.9,,16.1,1.1,1.4,
1999,39.5,25.1,9.7,13,15.6,3.8,112.5,43.7,21.7,52.2,98.3,
2000,39.3,8.5,59.4,30.5,15.8,22,106.1,58.8,22.4,8.1,61.7,
2001,18.3,60.3,57.4,8.8,8.4,9.8,2.3,14.2,17.6,2.9,1,
2002,17.5,4.5,2.2,3.7,7.9,2.2,6.9,63.3,12.8,40,31.7,
2003,41.9,34.3,103.4,69.4,31.8,13.8,89.1,42.6,8.4,7.3,18.4,
2004,31.6,67.8,8.4,24.9,43.6,37.9,88.9,32.8,2.4,4.5,5,
2005,39.5,28.9,44.2,23,57.1,36.1,117.1,26.8,21.2,37.4,3.5,
2006,46.3,19,18.4,4.1,16.9,14,129.2,56.8,,49.9,108.8,
2007,4.7,15.1,1,0,0.8,2.8,5.8,2,15.4,0.7,3.9,
2008,25.1,24.3,57.1,38.6,30.2,38.4,8.6,30.6,16.2,7,0.4,
2009,41,58,40.5,31.6,14.3,6,65.1,20.2,81.4,55.3,38.1,
2010,7.8,6.3,3.3,4,3.7,0.8,1.6,2.6,39.8,5.6,10,
2011,48.1,31.3,73.2,141.2,65.1,32.8,66.2,7,38.1,18.4,7.6,
2012,4.5,5.8,7.2,1,0.6,1.8,2.4,12.1,2.2,8.1,3.3,
2013,4.2,4.7,11.3,2.6,1.8,0.8,0.9,1.3,12.7,3.9,2.3,
2014,97.8,222.8,159.8,149,74.9,7,134.4,13.6,138.5,54.1,24.1,
2015,12.4,17.3,18.6,16.8,2.8,21.4,6.5,14.7,32,1.1,4.3,1.2
2016,3.4,1.5,0.5,1,2.6,0.6,1.5,3.8,5.9,6.9,12.5,0.4
2017,61.9,27.5,102.2,154,34.9,35.6,148.6,28.2,113.1,7.1,1.2,29
2018,7.2,19.2,5.4,9.2,0.4,0.8,1.5,13.1,3.8,13.9,12,0.4
2019,17.2,44.4,11,24,15.1,5.8,17.5,12.2,9,17.5,19.6,13
2020,23.9,10.3,31.1,51.3,20.5,13.6,32.3,42,20.7,20.7,19.8,0.9
2021,18.6,23.6,9.6,11.2,0.8,0.2,55.6,6.2,5.7,40,49.7,2.4
2022,41,37.3,27.4,110.4,86.5,35.8,62.7,14,11.5,32.4,26.7,6.4
2023,10.3,36,7.2,20.2,7.1,1.3,1,1.6,17.6,13.9,2.3,5.2
2024,6.6,12.1,1,6.6,0.3,0.6,5.8,7.3,8.9,12.3,12.3,5.2
