Site,Year,Grains per cm2,Days after 1-Jan,Peak Shedding Date,Days for 80% Shed,Quality of the Next Year Cone Crop,Pollen shed
AL - Escambia Experimental Forest,1957,22750,55,2/24/1957,21,good in 1958,high pollen and good cones
AL - Escambia Experimental Forest,1958,4830,94,4/4/1958,10,failed in 1959,
AL - Escambia Experimental Forest,1959,2970,82,3/23/1959,21,poor in 1960,
AL - Escambia Experimental Forest,1960,12960,95,4/4/1960,8,fair in 1961,good pollen and fair cones
AL - Escambia Experimental Forest,1961,2550,72,3/13/1961,13,failed in 1962,
AL - Escambia Experimental Forest,1962,2170,70,3/11/1962,13,failed in 1963,
AL - Escambia Experimental Forest,1963,10240,77,3/18/1963,19,poor in 1964,good pollen and low cones
AL - Escambia Experimental Forest,1964,4590,84,3/24/1964,10,failed in 1965,
AL - Escambia Experimental Forest,1965,590,79,3/20/1965,11,failed in 1966,
AL - Escambia Experimental Forest,1966,24530,83,3/24/1966,10,good in 1967,high pollen and good cones
AL - Escambia Experimental Forest,1967,6810,74,3/15/1967,9,fair in 1968,
AL - Escambia Experimental Forest,1968,9080,91,3/31/1968,15,poor in 1969,
AL - Escambia Experimental Forest,1969,5740,84,3/25/1969,12,failed in 1970,
AL - Escambia Experimental Forest,1970,11720,85,3/26/1970,10,poor in 1971,good pollen and low cones
AL - Escambia Experimental Forest,1971,7800,75,3/16/1971,16,failed in 1972,
AL - Escambia Experimental Forest,1972,10810,62,3/2/1972,21,fair in 1973,good pollen and fair cones
AL - Escambia Experimental Forest,1973,11580,74,3/15/1973,6,fair in 1974,good pollen and fair cones
AL - Escambia Experimental Forest,1974,6140,65,3/6/1974,20,poor in 1975,
AL - Escambia Experimental Forest,1975,3730,53,2/22/1975,11,failed in 1976,
AL - Escambia Experimental Forest,1976,6090,68,3/8/1976,11,poor in 1977,
AL - Escambia Experimental Forest,1977,1840,76,3/17/1977,5,failed in 1978,
AL - Escambia Experimental Forest,1978,7300,94,4/4/1978,7,poor in 1979,
AL - Escambia Experimental Forest,1979,1130,89,3/30/1979,11,failed in 1980,
AL - Escambia Experimental Forest,1980,3830,73,3/13/1980,9,failed in 1981,
AL - Escambia Experimental Forest,1981,4380,78,3/19/1981,14,poor in  1982,
AL - Escambia Experimental Forest,1982,5080,74,3/15/1982,10,poor in 1983,
AL - Escambia Experimental Forest,1983,11230,92,4/2/1983,10,poor in 1984,good pollen and low cones
AL - Escambia Experimental Forest,1984,2060,81,3/21/1984,9,poor in 1985,
AL - Escambia Experimental Forest,1985,12280,76,3/17/1985,13,fair in 1986,good pollen and fair cones
AL - Escambia Experimental Forest,1986,13150,77,3/18/1986,12,bumper in 1987,good pollen and high cones
AL - Escambia Experimental Forest,1987,4460,83,3/24/1987,6,failed in 1988,
AL - Escambia Experimental Forest,1988,670,84,3/24/1988,11,failed in 1989,
AL - Escambia Experimental Forest,1989,4330,72,3/13/1989,25,fair in 1990,
AL - Escambia Experimental Forest,1990,6050,63,3/4/1990,13,poor in 1991,
AL - Escambia Experimental Forest,1991,5060,73,3/14/1991,15,failed in 1992,
AL - Escambia Experimental Forest,1992,13320,68,3/8/1992,12,bumper in 1993,good pollen and high cones
AL - Escambia Experimental Forest,1993,11710,69,3/10/1993,17,poor in 1994,good pollen and low cones
AL - Escambia Experimental Forest,1994,3810,73,3/14/1994,11,failed in 1995,
AL - Escambia Experimental Forest,1995,11340,80,3/21/1995,14,bumper in 1996,good pollen and high cones
AL - Escambia Experimental Forest,1996,3820,80,3/20/1996,18,failed in 1997,
AL - Escambia Experimental Forest,1997,5220,65,3/6/1997,10,fair in 1998,
AL - Escambia Experimental Forest,1998,3480,78,3/19/1998,24,poor in 1999,
AL - Escambia Experimental Forest,1999,15870,72,3/13/1999,21,good in 2000,good pollen and good cones
AL - Escambia Experimental Forest,2000,2900,70,3/10/2000,19,good in 2001,low pollen and good cones
AL - Escambia Experimental Forest,2001,11560,63,3/4/2001,10,failed in 2002,
AL - Escambia Experimental Forest,2002,9150,80,3/21/2002,13,bumper in 2003,modest pollenand high cones
AL - Escambia Experimental Forest,2003,15070,72,3/13/2003,9,failed in 2004,good pollen but low cones
AL - Escambia Experimental Forest,2004,13160,77,3/17/2004,14,fair in 2005,good pollen and fair cones
AL - Escambia Experimental Forest,2005,5310,81,3/22/2005,15,poor in 2006,
AL - Escambia Experimental Forest,2006,870,78,3/19/2006,15,failed in 2007,
AL - Escambia Experimental Forest,2007,5780,76,3/17/2007,18,good in 2008,modest pollen and good cones
AL - Escambia Experimental Forest,2008,6730,77,3/17/2008,10,fair in 2009,
AL - Escambia Experimental Forest,2009,4620,78,3/19/2009,6,failed in 2010,
AL - Escambia Experimental Forest,2010,7650,89,3/30/2010,14,good in 2011,modest pollen and good cones
AL - Escambia Experimental Forest,2011,300,78,3/19/2011,11,failed in 2012,
AL - Escambia Experimental Forest,2012,3430,65,3/5/2012,11,poor in 2013,
AL - Escambia Experimental Forest,2013,28320,57,2/26/2013,32,bumper in 2014,high pollen and high cones
